"Year","90% lower bound of the confidence interval (5th percentile)","80% lower bound of the confidence interval (10th percentile)","50% lower bound of the confidence interval (25th percentile)","Median scenario","50% upper bound of the confidence interval (75th percentile)","80% upper bound of the confidence interval (90th percentile)","90% upper bound of the confidence interval (95th percentile)"
"2022","59030133","59030133","59030133","59030133","59030133","59030133","59030133"
"2023","58880036","58881849","58885076","58888730","58892064","58895281","58897397"
"2024","58793922","58799346","58808570","58818936","58828812","58837997","58844458"
"2025","58683964","58694712","58712335","58732188","58751595","58769149","58781828"
"2026","58550544","58567481","58595824","58628060","58659455","58688019","58707667"
"2027","58394198","58418151","58459665","58506612","58552255","58593710","58622561"
"2028","58219040","58250819","58307224","58371248","58433240","58489372","58528109"
"2029","58031996","58073236","58145915","58229078","58309801","58382777","58431145"
"2030","57836090","57887662","57978146","58083582","58184395","58276578","58336263"
"2031","57633078","57696643","57807279","57935990","58058737","58171960","58244454"
"2032","57421546","57500274","57631372","57786537","57932786","58066754","58154568"
"2033","57203792","57295171","57451130","57634641","57807587","57964216","58065988"
"2034","56983662","57086758","57269463","57481096","57680864","57861789","57983149"
"2035","56753189","56874678","57081366","57325882","57556210","57762026","57903900"
"2036","56515723","56654073","56890342","57168002","57430992","57665750","57822749"
"2037","56273487","56430569","56696815","57007602","57304826","57570517","57745610"
"2038","56020989","56200004","56502171","56844459","57174298","57476121","57671335"
"2039","55763175","55965193","56296025","56677534","57043558","57380344","57603015"
"2040","55500710","55720228","56083683","56506020","56910523","57284508","57521822"
"2041","55223120","55469802","55866984","56329107","56771645","57188567","57442766"
"2042","54939074","55213806","55641820","56146049","56626232","57088262","57355940"
"2043","54643314","54940673","55408297","55956079","56480831","56979972","57279553"
"2044","54334861","54660153","55165043","55758462","56331070","56862849","57191228"
"2045","54012499","54373384","54916176","55552660","56171833","56739509","57089107"
"2046","53680383","54074642","54653751","55337164","56002097","56611763","56989440"
"2047","53336734","53760630","54373183","55110878","55818565","56482139","56882170"
"2048","52981243","53435326","54092425","54873084","55634885","56332348","56756844"
"2049","52615990","53095362","53795046","54623444","55432723","56176078","56636184"
"2050","52222150","52728729","53488500","54361245","55218235","56006241","56503072"
"2051","51826665","52356654","53167921","54086957","54986097","55820380","56344254"
"2052","51409627","51962069","52831255","53799487","54749908","55633369","56215431"
"2053","50975833","51559873","52480026","53500415","54498744","55430870","56038534"
"2054","50542202","51141666","52120347","53190648","54239298","55220077","55873618"
"2055","50075860","50726152","51742348","52870480","53966159","55010760","55696059"
"2056","49616381","50286916","51362254","52542278","53684029","54790791","55510625"
"2057","49129672","49865537","50981256","52206560","53401981","54581274","55318852"
"2058","48659683","49413392","50581118","51866337","53121673","54353028","55120330"
"2059","48199609","48967161","50176212","51522991","52828194","54114748","54930839"
"2060","47724292","48517948","49777178","51178442","52548312","53881471","54722981"
"2061","47222027","48062288","49371875","50834528","52262216","53638550","54537156"
"2062","46735563","47625747","48974089","50493017","51986974","53429063","54363175"
"2063","46256075","47156953","48570479","50156004","51693151","53203785","54152349"
"2064","45769785","46708300","48183025","49825410","51437392","52993258","53967509"
"2065","45297561","46271971","47808569","49502886","51165003","52790072","53819927"
"2066","44818811","45835355","47431919","49189430","50926258","52623929","53693168"
"2067","44361388","45389918","47052398","48885543","50708157","52468026","53561967"
"2068","43907484","44974716","46683128","48591736","50490287","52297214","53449600"
"2069","43466411","44565894","46341924","48308390","50284682","52161395","53323898"
"2070","43011458","44167153","46014788","48036872","50094709","52025847","53243537"
"2071","42599426","43773624","45663971","47777178","49908376","51908684","53196879"
"2072","42172454","43384231","45346159","47527153","49739790","51794841","53111521"
"2073","41769347","43015100","45021753","47288650","49584662","51719289","53064600"
"2074","41370330","42672050","44716634","47060204","49435888","51617325","52994495"
"2075","40969532","42350338","44440721","46840169","49278080","51578209","52961678"
"2076","40562400","41997181","44122709","46628320","49142599","51537259","52896633"
"2077","40179703","41653209","43832236","46422770","49026112","51484164","52886476"
"2078","39832792","41298399","43551590","46221398","48887046","51457114","52863376"
"2079","39403581","40908587","43254676","46025395","48772797","51401267","52880664"
"2080","39036355","40545707","42992624","45831124","48676507","51371770","52842934"
